run_id, epoch_idx, optimizer_name, batch_size, lr, ta, tl, va, vl
mlp_1x512_bs32_sgd_lr0_001,3,sgd,32,0.001,0.508,1.573,0.6587,1.1856
mlp_1x512_bs32_sgd_lr0_001,4,sgd,32,0.001,0.5467,1.4466,0.7047,1.0804
mlp_1x512_bs32_sgd_lr0_001,5,sgd,32,0.001,0.5755,1.3494,0.7173,0.9922
mlp_1x512_bs32_sgd_lr0_001,6,sgd,32,0.001,0.5972,1.2689,0.7567,0.8993
mlp_1x512_bs32_sgd_lr0_001,7,sgd,32,0.001,0.6137,1.2208,0.7607,0.8465
mlp_1x512_bs32_sgd_lr0_001,8,sgd,32,0.001,0.6372,1.1578,0.7733,0.7961
mlp_1x512_bs32_sgd_lr0_001,9,sgd,32,0.001,0.6444,1.1227,0.79,0.7533
mlp_1x512_bs32_sgd_lr0_001,10,sgd,32,0.001,0.6584,1.078,0.7973,0.7277
mlp_1x512_bs32_sgd_lr0_001,11,sgd,32,0.001,0.6626,1.0552,0.7993,0.7089
mlp_1x512_bs32_sgd_lr0_001,12,sgd,32,0.001,0.666,1.0416,0.8193,0.6677
mlp_1x512_bs32_sgd_lr0_001,13,sgd,32,0.001,0.6779,1.0078,0.81,0.6502
mlp_1x512_bs32_sgd_lr0_001,14,sgd,32,0.001,0.6842,0.989,0.824,0.6279
mlp_1x512_bs32_sgd_lr0_001,15,sgd,32,0.001,0.6933,0.9581,0.8307,0.6007
mlp_1x512_bs32_sgd_lr0_001,16,sgd,32,0.001,0.6875,0.9691,0.8407,0.5929
mlp_1x512_bs32_sgd_lr0_001,17,sgd,32,0.001,0.6961,0.9245,0.8387,0.5964
mlp_1x512_bs32_sgd_lr0_001,18,sgd,32,0.001,0.7022,0.9181,0.8347,0.5671
mlp_1x512_bs32_sgd_lr0_001,19,sgd,32,0.001,0.7111,0.8983,0.842,0.5586
mlp_1x512_bs32_sgd_lr0_001,20,sgd,32,0.001,0.707,0.9031,0.8413,0.5456
mlp_1x512_bs32_sgd_lr0_001,21,sgd,32,0.001,0.7143,0.8784,0.8607,0.5259
mlp_1x512_bs32_sgd_lr0_001,22,sgd,32,0.001,0.7159,0.8695,0.8647,0.5113
mlp_1x512_bs32_sgd_lr0_001,23,sgd,32,0.001,0.7166,0.871,0.86,0.5154
mlp_1x512_bs32_sgd_lr0_001,24,sgd,32,0.001,0.7207,0.8524,0.8587,0.5124
mlp_1x512_bs32_sgd_lr0_001,25,sgd,32,0.001,0.7268,0.8459,0.8607,0.4926
mlp_1x512_bs32_sgd_lr0_001,26,sgd,32,0.001,0.7306,0.8382,0.8587,0.4977
mlp_1x512_bs32_sgd_lr0_001,27,sgd,32,0.001,0.7268,0.8277,0.8673,0.4882
mlp_1x512_bs32_sgd_lr0_001,28,sgd,32,0.001,0.7325,0.8317,0.8547,0.487
mlp_1x512_bs32_sgd_lr0_001,29,sgd,32,0.001,0.7296,0.8223,0.866,0.4766
mlp_1x512_bs32_sgd_lr0_001,30,sgd,32,0.001,0.7376,0.8071,0.8673,0.4715
mlp_1x512_bs32_sgd_lr0_001,31,sgd,32,0.001,0.7424,0.7977,0.8647,0.475
mlp_1x512_bs32_sgd_lr0_001,32,sgd,32,0.001,0.7332,0.8172,0.862,0.4659
mlp_1x512_bs32_adam_lr0_0005,1,adam,32,0.0005,0.3995,1.9136,0.5893,1.3721
mlp_1x512_bs32_adam_lr0_0005,2,adam,32,0.0005,0.5297,1.5098,0.6853,1.1115
